Village,Latitude,Longitude
Padaha,24.343772,81.026769
Chheriya,24.701904,81.795511
Tala,24.746312,81.803797
Datainiha,24.736621,81.848436
Bhatimojra,25.048954,81.379019
Purniha,23.241947,81.358606
Khairi Kothar,24.681214,80.848089
Matiwa,24.682198,80.862794
Khairi Tukda,24.678424,80.835192
Arjunpur,24.997608,80.67554
Chakbelhai,24.565161,81.577385
Titihari,24.536827,81.568716
Mahtiniya,24.682935,81.824176
Serimar,23.724971,81.539969
Kharra,24.768457,81.67397
Barha,24.169744,81.003012
Halawan,24.816031,81.113793
Kadrohi,24.894416,81.072065
Khadar,24.819028,80.85262
Bhardwaran Tola Unmulan,24.635476,80.754835
Chillapata,24.582071,80.784985
Rojhin Kap,23.48069,80.588295
Gudar,23.727532,80.659455
Tilaura,24.584102,80.583545
Mair Tola,23.642337,81.572056
Uraiha,23.26737,81.386595
Dagdaha,23.192619,81.410005
Umri,24.522076,80.573114
Kansa,23.076088,81.74147
Samda Tola,23.262026,81.527972
Devgai,23.153921,81.51015
Semarwar,23.217516,81.829447
Baruka,23.376703,81.361547
Kushhai,23.395998,81.416911
Bachaha,23.717214,81.520924
Beldara,24.243444,80.817433
Ulicha,24.428398,80.490545
Bori,24.093382,80.548821
Salaiya Kap,24.030842,80.443059
Yadubirnagar,24.134528,80.61023
Maharaj,24.428111,80.512182
Barkachhi,24.642955,80.533921
Karahiya,24.513302,80.545555
Madphai,24.428176,80.673385
Khukhada Unmulan,24.414441,81.031694
Jhari Tukada,24.722556,80.934595
Mahuwar,24.546086,82.097681
Bigdari,25.008181,80.571086
Nawasta,24.792966,80.837064
Pujeria,25.053178,80.61206
Puranikpurwa,24.934464,81.418622
Rajapur,25.001497,80.705986
Nipaniya,24.011292,81.137129
Bedra,23.98846,81.360185
Ambar,24.110573,81.277885
Devri Khurd,24.164563,81.101123
Dokarbandh,23.915016,81.581968
Medra,24.158689,81.64625
Kishoura,24.460953,81.212065
Khatkhari Kothar,24.437147,81.04908
Chamarhar,24.709713,81.815151
Manakisar,24.279834,81.320796
Aharihatawa,24.253316,81.190154
Lauwa,24.6383,81.392081
Mirchwar,24.502281,81.372966
Neega,24.522115,81.233098
Pipara,24.49453,81.261819
Hardua,24.48329,81.458581
Jhanjhar,24.591023,81.033705
Shivpurchak,24.577309,81.680368
Kuaiyan,24.575727,81.550807
Bahera East,24.360811,81.929173
Dhanokhar,24.284876,81.600383
Laurkatan Triveni,24.676559,81.697861
Kaimhai,24.53309,81.696578
Ganigawan,24.697513,81.723735
Atariya Indradatt,24.600752,81.801546
Naharo,24.575757,81.812861
Gadauha,24.572116,81.827944
Kotar,24.476304,81.91965
Sarkhaniha,24.402272,81.998499
Basauda,24.356975,82.30611
Hauda Bandh,24.511607,82.117054
Marsar,24.488314,81.94072
Kunjhun Khurd,24.509527,82.161514
Purauna,24.920661,81.415688
Nivi,24.717109,81.608265
Lalhaiya,24.811209,81.192753
Bhashma,24.761575,81.393909
Mishragawan,24.82011,81.037992
Ganj,24.954096,81.422014
Kothar,24.77708,81.693246
Paikangaon,24.830984,81.748328
Bara Khurd,24.985199,81.756908
Barau,25.055745,81.519617
Khajuri,24.982342,81.793596
Atrauli,24.979633,81.786334
Sutipur,25.019858,81.612472
Karaundaha,24.735989,82.174982
Rautabandh,24.72615,82.155924
Kharra,24.77233,81.672862
Deori,24.087464,82.531722
Jaraudhi,24.037956,82.511397
Nawadih,24.046369,82.651956
Chingo,24.280227,82.516017
Rajarwar Tukda,24.69112,81.044532
Baisa,24.793434,81.451226
Sigti,24.499828,81.456236
Bamhauri Kala,24.694096,80.826171
Thagra,24.686587,80.817039
Majhgawan,24.691186,80.724619
Naiguwan,24.869755,80.570613
Badhari Lilji,24.469199,81.194392
Sahijana,24.462559,81.124648
Birsinghpur,24.451067,81.129966
Pateri,24.495837,81.215283
Bagdara,24.479646,81.465131
Chinraula,23.568709,80.902678
